FANGJIA_ADDRESS,FANGJIA_NAME,FANGJIA_URL,FANGJIA_PRICE
东大路328号,ICC凯旋门,http://cd.fang.lianjia.com/loupan/p_ikxmaasbc/, 15500
新华公园旁小龙桥路30号,中海新华府,http://cd.fang.lianjia.com/loupan/p_zhxhfaaquk/, 13952
光华大道光华南二路238号（树德中学旁）,国一梦巢,http://cd.fang.lianjia.com/loupan/p_gymcaakps/, 11000
二环路西一段155号（仁和春天对面）,天祥尚府,http://cd.fang.lianjia.com/loupan/p_txsfaadwh/, 16339
新都绕城与育英路交汇处（中国成都五龙山公园旁）,润扬观澜鹭岛,http://cd.fang.lianjia.com/loupan/p_ryglldaaeed/, 7500
万安镇麓山大道二段19号,雅居乐富春山居,http://cd.fang.lianjia.com/loupan/p_yjlfcsjaascy/, 11000
西三环蜀鑫路与清波路交汇处（华润金悦湾对面）,海亮樾金沙,http://cd.fang.lianjia.com/loupan/p_hlyjsaaeju/, 15000
南三环路南五段188号（蓝天立交桥旁边）,美洲花园棕榈湾,http://cd.fang.lianjia.com/loupan/p_mzhyzlwaakst/, 11050
龙都北路399号（大自然往阳光城方向前行200米）,龙都国际,http://cd.fang.lianjia.com/loupan/p_ldgjaabvd/, 4750
三圣乡成龙大道二段北大附小正对门（川师成龙校区旁）,天府逸家,http://cd.fang.lianjia.com/loupan/p_tfyjaaarn/, 6500
成华区锦绣大道段大渡河路交汇处,荣盛香榭兰庭,http://cd.fang.lianjia.com/loupan/p_rsxxltaachq/, 9000
府青路二段7号,云翔金座,http://cd.fang.lianjia.com/loupan/p_yxjzaaqer/, 11000
东二环汇源北路99号,天誉花园,http://cd.fang.lianjia.com/loupan/p_tyaabmk/, 23000
龙都北路533号（市民乒乓球公园对面）,天悦国际,http://cd.fang.lianjia.com/loupan/p_tygjaaehi/, 5200
草金路（永康森林公园旁、江安河畔）,蜀镇,http://cd.fang.lianjia.com/loupan/p_szaaqsa/, 6100
广场路（技师学院对面）,同森锦熙,http://cd.fang.lianjia.com/loupan/p_tsjxaarwl/, 5000
驿都大道北海亮彩悦府,海亮彩悦府,http://cd.fang.lianjia.com/loupan/p_hlcyfaacve/, 8000
花桥龚巷村一组,中伟花桥雅苑,http://cd.fang.lianjia.com/loupan/p_zwhqyyaaxpw/, 3880
工业大道393号,麦田国际社区,http://cd.fang.lianjia.com/loupan/p_mtgjsqaampd/, 4400
二环路外沙河畔（地铁2号线东大路站）,ICC天曜,http://cd.fang.lianjia.com/loupan/p_icctyaacfk/, 20000
西河镇成洛大道（成洛路西南食品城旁）,东韵雅园,http://cd.fang.lianjia.com/loupan/p_dyyyaawvh/, 4800
阳光城幸福大道,林溪康城,http://cd.fang.lianjia.com/loupan/p_lxkcaalhw/, 4350
湖景四路2号,中国铁建北湖国际城二期,http://cd.fang.lianjia.com/loupan/p_zgtjbhgjceqaaxek/, 9600
龙泉驿天鹅西湖南路6号（成龙大道和天鹅西湖南路交汇处）,世茂城,http://cd.fang.lianjia.com/loupan/p_smcaaiap/, 6500
红星路南延线与应龙路交叉口,北大资源颐和翡翠府,http://cd.fang.lianjia.com/loupan/p_bdzyyhfcfaarjo/, 16500
五块石玉居庵东路116号（红旗连锁旁）,中铁瑞景汇中心,http://cd.fang.lianjia.com/loupan/p_ztrjhzxaalow/, 9225
跳蹬河南路18号,成华奥园广场,http://cd.fang.lianjia.com/loupan/p_chaygceqaausi/, 13800
花都大道与凤凰北大街交界处（光华新城地铁4号线凤凰大道站）,蓝润光华春天,http://cd.fang.lianjia.com/loupan/p_lrghctaactq/, 6060
大件路与黄河中路二段交汇处（川大江安校区学生东园旁）,蓝光圣菲悦城,http://cd.fang.lianjia.com/loupan/p_lgsfycaahuv/, 7500
麓山大道2段19号,雅居乐十里花巷,http://cd.fang.lianjia.com/loupan/p_yjyslhxaaeds/, 7500
西货站路207号,融创观玺台,http://cd.fang.lianjia.com/loupan/p_rcgxtaauaw/, 15800
大面街道办事处新建路118号,百悦城142,http://cd.fang.lianjia.com/loupan/p_bycsqaaxfr/, 7500
